City,Country
Vancouver,Canada
Duncan,Canada
Sofia,Bulgaria
Paris,France
Faro,Portugal
Lisbon,Portugal
Madrid,Spain
Logroño,Spain
Barcelona,Spain
Turin,Italy
Milan,Italy
Belgrade,Serbia
Shumen,Bulgaria
Nairobi,Kenya
Kampala,Uganda
Toronto,Canada
Golfo Dulce,Costa Rica
Dominical,Costa Rica
Santa Teresa,Costa Rica
Tamarindo,Costa Rica
Saint Martin,Saint Martin
Mayrhofen,Austria
Neustift,Austria
Varna,Bulgaria
Berlin,Germany
Bistensee,Germany
Hamburg,Germany
Klitmøller,Denmark
Hirtshals,Denmark
Drammen,Norway
Lærdalsøyri,Norway
Jostedal ,Norway
Geiranger,Norway
Kristiansund,Norway
Mörkret,Sweden
Åmål,Sweden
Strömstad,Sweden
Grebbestad,Sweden
Guldborg,Denmark
Rostock,Germany
Kos,Greece
London,United Kingdom
Corfu,Greece
Athens,Greece
